Commodity,Attribute,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit Description
"Meat, Swine",Beginning Stocks,New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,United States,238,245,246,283,280,253,267,230,251,254,293,212,202,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Beginning Stocks,World,607,562,568,645,640,694,654,607,649,711,861,724,682,(1000 MT CWE)
"Meat, Swine",Production,Angola,70,77,85,94,103,113,122,126,134,142,150,155,160,(1000 MT CWE)
"Meat, Swine",Production,Argentina,279,301,331,416,442,484,502,554,588,610,655,695,700,(1000 MT CWE)
"Meat, Swine",Production,Australia,339,344,352,360,362,374,386,408,424,398,419,444,450,(1000 MT CWE)
"Meat, Swine",Production,"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Production,Belarus,339,356,340,364,305,310,333,351,352,340,364,360,375,(1000 MT CWE)
"Meat, Swine",Production,Bosnia and Herzegovina,10,13,12,11,10,9,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Production,Brazil,"3,195","3,227","3,330","3,335","3,400","3,519","3,700","3,725","3,763","3,975","4,125","4,365","4,410",(1000 MT CWE)
"Meat, Swine",Production,Canada,"1,783","1,817","1,844","1,823","1,806","1,899","1,914","1,958","1,955","2,000","2,115","2,120","2,070",(1000 MT CWE)
"Meat, Swine",Production,Chile,498,528,584,550,520,524,508,489,534,530,574,589,595,(1000 MT CWE)
"Meat, Swine",Production,China,"51,384","51,316","54,435","56,183","58,208","56,454","54,255","54,518","54,040","42,550","36,340","47,500","51,000",(1000 MT CWE)
"Meat, Swine",Production,Colombia,197,216,239,245,267,305,343,352,383,422,440,461,475,(1000 MT CWE)
"Meat, Swine",Production,Congo (Kinshasa),24,24,25,25,25,25,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Production,Cote d'Ivoire,7,7,7,7,8,8,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Production,Cuba,100,98,101,110,115,119,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Production,Dominican Republic,89,104,78,79,73,74,76,77,76,82,81,76,55,(1000 MT CWE)
"Meat, Swine",Production,Ecuador,187,200,205,219,208,211,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Production,El Salvador,8,8,9,8,9,7,7,7,7,7,7,7,7,(1000 MT CWE)
"Meat, Swine",Production,European Union,"22,627","22,953","22,526","22,359","22,540","23,249","22,947","22,758","23,156","22,996","23,219","23,720","23,150",(1000 MT CWE)
"Meat, Swine",Production,Guatemala,59,60,62,62,62,62,62,62,62,62,62,64,64,(1000 MT CWE)
"Meat, Swine",Production,Haiti,33,33,33,33,33,33,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Production,Honduras,12,12,13,13,13,12,11,11,11,10,10,9,9,(1000 MT CWE)
"Meat, Swine",Production,Hong Kong,120,126,133,135,138,135,124,126,128,74,63,74,72,(1000 MT CWE)
"Meat, Swine",Production,Japan,"1,292","1,267","1,297","1,309","1,264","1,254","1,279","1,272","1,284","1,279","1,306","1,318","1,315",(1000 MT CWE)
"Meat, Swine",Production,Kazakhstan,206,214,103,100,100,95,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Production,"Korea, South","1,110",837,"1,086","1,252","1,200","1,217","1,266","1,280","1,329","1,364","1,403","1,407","1,410",(1000 MT CWE)
"Meat, Swine",Production,Macau,7,8,8,8,8,7,7,6,6,5,5,5,5,(1000 MT CWE)
"Meat, Swine",Production,Mexico,"1,034","1,058","1,090","1,130","1,135","1,164","1,211","1,267","1,321","1,408","1,451","1,484","1,535",(1000 MT CWE)
"Meat, Swine",Production,Montenegro,2,4,4,1,3,3,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Production,New Zealand,48,50,49,47,47,44,45,46,46,44,45,45,45,(1000 MT CWE)
"Meat, Swine",Production,North Macedonia,8,8,11,9,10,11,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Production,Norway,129,131,132,128,129,135,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Production,Panama,30,32,34,34,34,36,39,40,44,40,41,45,45,(1000 MT CWE)
"Meat, Swine",Production,Philippines,"1,310","1,339","1,362","1,388","1,402","1,463","1,540","1,563","1,601","1,585","1,115","1,000","1,000",(1000 MT CWE)
"Meat, Swine",Production,Russia,"1,987","2,069","2,179","2,394","2,484","2,589","2,820","2,959","3,155","3,324","3,611","3,700","3,730",(1000 MT CWE)
"Meat, Swine",Production,Serbia,269,271,293,303,320,324,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Production,Singapore,19,19,20,19,20,21,21,21,20,23,28,28,28,(1000 MT CWE)
"Meat, Swine",Production,South Africa,192,205,206,214,224,233,243,232,248,262,272,294,300,(1000 MT CWE)
"Meat, Swine",Production,Taiwan,845,865,878,855,815,832,827,811,829,820,840,830,830,(1000 MT CWE)
"Meat, Swine",Production,Ukraine,631,704,701,748,766,781,783,769,732,735,723,750,655,(1000 MT CWE)
"Meat, Swine",Production,United Kingdom,0,0,0,0,0,0,919,902,926,960,980,"1,025","1,000",(1000 MT CWE)
"Meat, Swine",Production,United States,"10,186","10,331","10,554","10,525","10,368","11,121","11,320","11,611","11,943","12,543","12,845","12,559","12,288",(1000 MT CWE)
"Meat, Swine",Production,Uruguay,17,16,17,18,17,14,15,14,13,10,11,11,11,(1000 MT CWE)
"Meat, Swine",Production,Vietnam,"2,217","2,262","2,307","2,357","2,431","2,548","2,701","2,741","2,811","2,430","2,467","2,590","2,720",(1000 MT CWE)
"Meat, Swine",Production,World,"102,899","103,510","107,075","109,270","111,424","111,818","110,326","111,056","111,921","101,030","95,767","107,730","110,509",(1000 MT CWE)
"Meat, Swine",Imports,Angola,56,77,86,86,95,68,45,46,55,37,36,47,50,(1000 MT CWE)
"Meat, Swine",Imports,Argentina,48,58,32,18,11,16,35,45,52,40,26,50,60,(1000 MT CWE)
"Meat, Swine",Imports,Australia,183,175,194,183,191,220,210,215,216,269,201,210,215,(1000 MT CWE)
"Meat, Swine",Imports,"Bahamas, The",7,7,7,6,7,8,8,8,8,8,7,8,8,(1000 MT CWE)
"Meat, Swine",Imports,Belarus,74,107,145,95,41,6,9,7,24,29,30,48,50,(1000 MT CWE)
"Meat, Swine",Imports,Bosnia and Herzegovina,9,8,10,14,16,19,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Imports,Brazil,1,1,1,1,2,1,2,2,2,2,2,3,3,(1000 MT CWE)
"Meat, Swine",Imports,Canada,181,201,236,217,211,212,211,218,228,242,274,263,260,(1000 MT CWE)
"Meat, Swine",Imports,Chile,14,19,25,49,43,45,72,93,96,134,135,187,175,(1000 MT CWE)
"Meat, Swine",Imports,China,406,710,683,728,720,955,"2,021","1,501","1,457","2,451","5,281","4,330","3,500",(1000 MT CWE)
"Meat, Swine",Imports,Colombia,11,21,35,60,70,64,65,97,127,138,89,151,155,(1000 MT CWE)
"Meat, Swine",Imports,Congo (Kinshasa),21,15,16,16,27,21,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Imports,Cote d'Ivoire,12,12,17,26,15,27,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Imports,Cuba,13,8,6,6,5,7,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Imports,Dominican Republic,21,16,18,23,21,29,32,39,53,43,51,74,90,(1000 MT CWE)
"Meat, Swine",Imports,Ecuador,7,9,7,8,7,5,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Imports,El Salvador,4,3,3,5,5,6,7,8,11,11,12,18,20,(1000 MT CWE)
"Meat, Swine",Imports,European Union,29,19,20,15,14,11,156,156,169,164,160,99,100,(1000 MT CWE)
"Meat, Swine",Imports,Guatemala,16,14,12,13,15,16,19,20,23,26,24,37,35,(1000 MT CWE)
"Meat, Swine",Imports,Haiti,4,6,7,7,7,9,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Imports,Honduras,24,22,19,22,19,27,32,36,42,45,47,63,60,(1000 MT CWE)
"Meat, Swine",Imports,Hong Kong,338,423,401,388,334,383,409,447,411,331,378,364,350,(1000 MT CWE)
"Meat, Swine",Imports,Japan,"1,198","1,253","1,258","1,222","1,331","1,268","1,360","1,473","1,480","1,493","1,412","1,420","1,450",(1000 MT CWE)
"Meat, Swine",Imports,Kazakhstan,9,11,18,15,11,6,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Imports,"Korea, South",381,639,501,388,479,599,615,645,753,694,554,570,640,(1000 MT CWE)
"Meat, Swine",Imports,Macau,21,22,25,24,28,28,31,32,32,35,28,30,32,(1000 MT CWE)
"Meat, Swine",Imports,Mexico,573,494,588,652,680,813,843,885,972,985,945,"1,155","1,200",(1000 MT CWE)
"Meat, Swine",Imports,Montenegro,23,21,23,24,39,26,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Imports,New Zealand,36,37,40,43,47,57,60,61,65,67,57,75,80,(1000 MT CWE)
"Meat, Swine",Imports,North Macedonia,14,13,15,16,15,15,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Imports,Norway,3,4,3,6,6,4,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Imports,Panama,9,11,11,14,14,17,18,18,19,24,23,22,20,(1000 MT CWE)
"Meat, Swine",Imports,Philippines,158,143,137,170,197,173,193,239,283,222,168,458,375,(1000 MT CWE)
"Meat, Swine",Imports,Russia,818,859,957,818,495,392,339,367,84,107,13,16,10,(1000 MT CWE)
"Meat, Swine",Imports,Serbia,4,7,14,16,27,29,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Imports,Singapore,100,93,102,95,113,112,112,113,120,105,125,123,129,(1000 MT CWE)
"Meat, Swine",Imports,South Africa,34,42,43,36,24,41,31,37,45,36,22,34,35,(1000 MT CWE)
"Meat, Swine",Imports,Taiwan,57,58,32,39,63,107,77,110,109,110,79,83,90,(1000 MT CWE)
"Meat, Swine",Imports,Ukraine,134,113,262,190,40,5,4,8,35,29,35,52,30,(1000 MT CWE)
"Meat, Swine",Imports,United Kingdom,0,0,0,0,0,0,"1,005","1,024","1,006",932,837,751,800,(1000 MT CWE)
"Meat, Swine",Imports,United States,390,364,364,399,459,506,495,506,473,429,410,535,635,(1000 MT CWE)
"Meat, Swine",Imports,Uruguay,18,23,28,34,34,38,42,45,50,53,50,55,60,(1000 MT CWE)
"Meat, Swine",Imports,Vietnam,1,8,4,3,4,8,11,33,78,73,225,300,270,(1000 MT CWE)
"Meat, Swine",Imports,World,"5,460","6,146","6,405","6,190","5,982","6,399","8,569","8,534","8,578","9,364","11,736","11,631","10,987",(1000 MT CWE)
"Meat, Swine",Total Supply,Angola,126,154,171,180,198,181,167,172,189,179,186,202,210,(1000 MT CWE)
"Meat, Swine",Total Supply,Argentina,327,359,363,434,453,500,537,599,640,650,681,745,760,(1000 MT CWE)
"Meat, Swine",Total Supply,Australia,522,519,546,543,553,594,596,623,640,667,620,654,665,(1000 MT CWE)
"Meat, Swine",Total Supply,"Bahamas, The",7,7,7,6,7,8,8,8,8,8,7,8,8,(1000 MT CWE)
"Meat, Swine",Total Supply,Belarus,413,463,485,459,346,316,342,358,376,369,394,408,425,(1000 MT CWE)
"Meat, Swine",Total Supply,Bosnia and Herzegovina,19,21,22,25,26,28,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Supply,Brazil,"3,196","3,228","3,331","3,336","3,402","3,520","3,702","3,727","3,765","3,977","4,127","4,368","4,413",(1000 MT CWE)
"Meat, Swine",Total Supply,Canada,"2,009","2,057","2,136","2,098","2,082","2,188","2,194","2,239","2,259","2,311","2,469","2,449","2,420",(1000 MT CWE)
"Meat, Swine",Total Supply,Chile,512,547,609,599,563,569,580,582,630,664,709,776,770,(1000 MT CWE)
"Meat, Swine",Total Supply,China,"51,790","52,026","55,118","56,911","58,928","57,409","56,276","56,019","55,497","45,001","41,621","51,830","54,500",(1000 MT CWE)
"Meat, Swine",Total Supply,Colombia,208,237,274,305,337,369,408,449,510,560,529,612,630,(1000 MT CWE)
"Meat, Swine",Total Supply,Congo (Kinshasa),45,39,41,41,52,46,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Supply,Cote d'Ivoire,19,19,24,33,23,35,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Supply,Cuba,113,106,107,116,120,126,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Supply,Dominican Republic,110,120,96,102,94,103,108,116,129,125,132,150,145,(1000 MT CWE)
"Meat, Swine",Total Supply,Ecuador,194,209,212,227,215,216,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Supply,El Salvador,12,11,12,13,14,13,14,15,18,18,19,25,27,(1000 MT CWE)
"Meat, Swine",Total Supply,European Union,"22,656","22,972","22,546","22,374","22,554","23,260","23,103","22,914","23,325","23,160","23,379","23,819","23,250",(1000 MT CWE)
"Meat, Swine",Total Supply,Guatemala,75,74,74,75,77,78,81,82,85,88,86,101,99,(1000 MT CWE)
"Meat, Swine",Total Supply,Haiti,37,39,40,40,40,42,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Supply,Honduras,36,34,32,35,32,39,43,47,53,55,57,72,69,(1000 MT CWE)
"Meat, Swine",Total Supply,Hong Kong,458,549,534,523,472,518,533,573,539,405,441,438,422,(1000 MT CWE)
"Meat, Swine",Total Supply,Japan,"2,707","2,738","2,771","2,745","2,790","2,768","2,839","2,956","2,986","2,980","2,981","2,983","2,984",(1000 MT CWE)
"Meat, Swine",Total Supply,Kazakhstan,215,225,121,115,111,101,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Supply,"Korea, South","1,598","1,536","1,637","1,730","1,779","1,934","1,999","2,028","2,182","2,238","2,182","2,178","2,221",(1000 MT CWE)
"Meat, Swine",Total Supply,Macau,28,30,33,32,36,35,38,38,38,40,33,35,37,(1000 MT CWE)
"Meat, Swine",Total Supply,Mexico,"1,607","1,552","1,678","1,782","1,815","1,977","2,054","2,152","2,293","2,393","2,396","2,639","2,735",(1000 MT CWE)
"Meat, Swine",Total Supply,Montenegro,25,25,27,25,42,29,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Supply,New Zealand,84,87,89,90,94,101,105,107,111,111,102,120,125,(1000 MT CWE)
"Meat, Swine",Total Supply,North Macedonia,22,21,26,25,25,26,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Supply,Norway,132,135,135,134,135,139,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Supply,Panama,39,43,45,48,48,53,57,58,63,64,64,67,65,(1000 MT CWE)
"Meat, Swine",Total Supply,Philippines,"1,468","1,482","1,499","1,558","1,599","1,636","1,733","1,802","1,884","1,807","1,283","1,458","1,375",(1000 MT CWE)
"Meat, Swine",Total Supply,Russia,"2,805","2,928","3,136","3,212","2,979","2,981","3,159","3,326","3,239","3,431","3,624","3,716","3,740",(1000 MT CWE)
"Meat, Swine",Total Supply,Serbia,273,278,307,319,347,353,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Total Supply,Singapore,119,112,122,114,133,133,133,134,140,128,153,151,157,(1000 MT CWE)
"Meat, Swine",Total Supply,South Africa,226,247,249,250,248,274,274,269,293,298,294,328,335,(1000 MT CWE)
"Meat, Swine",Total Supply,Taiwan,902,923,910,894,878,939,904,921,938,930,919,913,920,(1000 MT CWE)
"Meat, Swine",Total Supply,Ukraine,765,817,963,938,806,786,787,777,767,764,758,802,685,(1000 MT CWE)
"Meat, Swine",Total Supply,United Kingdom,0,0,0,0,0,0,"1,924","1,926","1,932","1,892","1,817","1,776","1,800",(1000 MT CWE)
"Meat, Swine",Total Supply,United States,"10,814","10,940","11,164","11,207","11,107","11,880","12,082","12,347","12,667","13,226","13,548","13,306","13,125",(1000 MT CWE)
"Meat, Swine",Total Supply,Uruguay,35,39,45,52,51,52,57,59,63,63,61,66,71,(1000 MT CWE)
"Meat, Swine",Total Supply,Vietnam,"2,218","2,270","2,311","2,360","2,435","2,556","2,712","2,774","2,889","2,503","2,692","2,890","2,990",(1000 MT CWE)
"Meat, Swine",Total Supply,World,"108,966","110,218","114,048","116,105","118,046","118,911","119,549","120,197","121,148","111,105","108,364","120,085","122,178",(1000 MT CWE)
"Meat, Swine",Exports,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Argentina,1,1,1,1,1,1,2,3,8,9,28,20,12,(1000 MT CWE)
"Meat, Swine",Exports,Australia,37,38,33,33,33,32,33,38,41,33,34,38,40,(1000 MT CWE)
"Meat, Swine",Exports,"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Belarus,52,74,92,66,24,5,10,12,14,7,8,8,8,(1000 MT CWE)
"Meat, Swine",Exports,Bosnia and Herzegovina,0,0,0,1,1,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Brazil,598,566,636,569,548,618,820,776,722,861,"1,178","1,321","1,330",(1000 MT CWE)
"Meat, Swine",Exports,Canada,"1,109","1,151","1,195","1,194","1,168","1,182","1,266","1,290","1,277","1,284","1,546","1,479","1,465",(1000 MT CWE)
"Meat, Swine",Exports,Chile,126,134,172,158,157,168,163,162,190,223,295,268,250,(1000 MT CWE)
"Meat, Swine",Exports,China,275,241,233,243,276,229,190,207,202,135,100,104,100,(1000 MT CWE)
"Meat, Swine",Exports,Colombia,0,0,0,0,0,0,0,0,2,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Congo (Kinshasa),0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,El Salvador,1,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,European Union,"1,651","2,089","2,103","2,177","2,113","2,328","3,847","3,617","3,671","4,266","5,176","4,986","4,750",(1000 MT CWE)
"Meat, Swine",Exports,Guatemala,1,2,0,1,1,1,1,1,1,1,1,1,1,(1000 MT CWE)
"Meat, Swine",Exports,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Japan,1,1,1,2,2,2,3,5,4,3,4,4,5,(1000 MT CWE)
"Meat, Swine",Exports,Kazakhstan,0,0,0,0,1,2,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,"Korea, South",0,0,2,2,2,3,2,2,1,2,5,10,5,(1000 MT CWE)
"Meat, Swine",Exports,Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Mexico,77,85,95,111,117,128,141,169,177,234,344,319,320,(1000 MT CWE)
"Meat, Swine",Exports,Montenegro,1,1,1,1,16,2,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,New Zealand,0,0,0,0,0,0,0,1,1,1,1,1,1,(1000 MT CWE)
"Meat, Swine",Exports,North Macedonia,1,1,1,1,1,1,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Norway,5,4,5,6,5,3,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Philippines,1,1,1,1,1,1,1,1,1,1,1,1,1,(1000 MT CWE)
"Meat, Swine",Exports,Russia,0,0,1,1,1,6,21,30,37,68,156,158,100,(1000 MT CWE)
"Meat, Swine",Exports,Serbia,3,4,5,3,20,16,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Singapore,1,2,2,3,7,6,2,2,2,2,8,15,15,(1000 MT CWE)
"Meat, Swine",Exports,South Africa,10,11,12,10,13,17,14,16,17,17,16,17,17,(1000 MT CWE)
"Meat, Swine",Exports,Taiwan,2,4,4,3,3,2,2,2,2,2,5,4,4,(1000 MT CWE)
"Meat, Swine",Exports,Ukraine,1,17,28,7,11,29,4,6,2,3,3,5,0,(1000 MT CWE)
"Meat, Swine",Exports,United Kingdom,0,0,0,0,0,0,289,300,307,338,349,256,265,(1000 MT CWE)
"Meat, Swine",Exports,United States,"1,915","2,357","2,440","2,262","2,310","2,272","2,376","2,555","2,666","2,867","3,302","3,189","2,991",(1000 MT CWE)
"Meat, Swine",Exports,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Exports,Vietnam,15,25,22,17,16,23,50,31,20,10,5,6,5,(1000 MT CWE)
"Meat, Swine",Exports,World,"5,884","6,809","7,085","6,873","6,848","7,077","9,237","9,226","9,365","10,367","12,565","12,210","11,685",(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Angola,126,154,171,180,198,181,167,172,189,179,186,202,210,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Argentina,326,358,362,433,452,499,535,596,632,641,653,725,748,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Australia,485,481,513,510,520,562,563,585,599,634,586,616,625,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,"Bahamas, The",7,7,7,6,7,8,8,8,8,8,7,8,8,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Belarus,361,389,393,393,322,311,332,346,362,362,386,400,417,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Bosnia and Herzegovina,19,21,22,24,25,28,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Brazil,"2,598","2,662","2,695","2,767","2,854","2,902","2,882","2,951","3,043","3,116","2,949","3,047","3,083",(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Canada,861,850,883,839,837,937,865,873,913,947,857,880,895,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Chile,386,413,437,441,406,401,417,420,440,441,414,508,520,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,China,"51,515","51,785","54,885","56,668","58,652","57,180","56,086","55,812","55,295","44,866","41,521","51,726","54,400",(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Colombia,208,237,274,305,337,369,408,449,508,560,529,612,630,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Congo (Kinshasa),45,39,41,41,52,46,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Cote d'Ivoire,19,19,24,33,23,35,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Cuba,113,106,107,116,120,126,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Dominican Republic,110,120,96,102,94,103,108,116,129,125,132,150,145,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Ecuador,194,209,212,227,215,216,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,El Salvador,11,11,12,13,14,13,14,15,18,18,19,25,27,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,European Union,"21,005","20,883","20,443","20,197","20,441","20,932","19,256","19,297","19,654","18,894","18,203","18,833","18,500",(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Guatemala,74,72,74,74,76,77,80,81,84,87,85,100,98,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Haiti,37,39,40,40,40,42,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Honduras,36,34,32,35,32,39,43,47,53,55,57,72,69,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Hong Kong,458,549,534,523,472,518,533,573,539,405,441,438,422,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Japan,"2,488","2,521","2,556","2,548","2,542","2,566","2,625","2,729","2,774","2,714","2,732","2,760","2,769",(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Kazakhstan,215,225,121,115,110,99,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,"Korea, South","1,538","1,486","1,545","1,628","1,659","1,813","1,894","1,926","2,001","2,011","1,976","1,997","2,034",(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Macau,28,30,33,32,36,35,38,38,38,40,33,35,37,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Mexico,"1,530","1,467","1,583","1,671","1,698","1,849","1,913","1,983","2,116","2,159","2,052","2,320","2,415",(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Montenegro,24,24,26,24,26,27,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,New Zealand,84,87,89,90,94,101,105,106,110,110,101,119,124,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,North Macedonia,21,20,25,24,24,25,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Norway,127,131,130,128,130,136,0,0,0,0,0,0,0,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Panama,39,43,45,48,48,53,57,58,63,64,64,67,65,(1000 MT CWE)
"Meat, Swine",Domestic Consumption,Philippines,"1,467","1,481","1,498","1,557","1,598","1,635","1,732","1,801","1,883","1,806","1,282","1,457","1,374",(1000 MT CWE)
